LATITUDE,LONGITUDE,ALTITUDE
25.037678,121.589332,585.5 
24.998152,121.632919,1068.6 
24.990954,121.530194,529.2 
25.025594,121.459396,748.0 
24.990908,121.429280,202.6 
24.978602,121.599427,325.9 
25.063794,121.476592,874.9 
25.003322,121.604066,617.9 
24.967759,121.637808,740.9 
25.028759,121.649722,543.1 
24.985284,121.657568,579.8 
25.057942,121.543703,970.6 
25.066415,121.456797,1054.6 
24.978252,121.599677,402.4 
25.010540,121.423762,926.0 
24.964220,121.433250,462.1 
25.005075,121.508841,480.6 
25.028534,121.557975,505.8 
25.031167,121.554194,1038.0 
25.055364,121.492501,148.3 
24.961941,121.515669,292.2 
24.962190,121.557815,712.1 
24.969180,121.553032,145.1 
24.998200,121.652617,598.8 
25.014948,121.624353,540.9 
25.008864,121.437191,196.1 
25.007718,121.596167,200.9 
24.968348,121.544615,523.2 
25.085310,121.530798,376.8 
25.044548,121.458038,598.9 
24.998794,121.514177,1066.6 
24.983094,121.614262,1092.1 
25.062382,121.659025,599.5 
25.016516,121.570896,439.8 
24.965842,121.654248,427.1 
25.029124,121.555644,296.6 
25.063901,121.529920,869.2 
25.076866,121.522843,349.6 
25.009565,121.644244,301.8 
24.973693,121.663291,867.6 
25.039153,121.430079,984.3 
25.024049,121.428454,1074.7 
25.039766,121.638159,498.1 
24.978777,121.437226,573.0 
24.998612,121.571245,960.4 
25.022535,121.589777,571.3 
25.043413,121.638976,433.4 
25.005689,121.632724,639.5 
25.024292,121.481342,746.1 
25.057241,121.428750,395.6 
